Frequency,Angle,Length,Velocity,Thickness,Noise
800,0,0.3048,71.3,0.00266337,126.201
2500,0.0,0.1016,31.7,0.00150092,132.003
8000,0.0,0.2286,71.3,0.00214345,118.024
1250,0.0,0.1016,71.3,0.00121072,130.335
3150,17.4,0.0254,55.5,0.016570599999999998,124.101
250,7.3,0.2286,31.7,0.0132672,130.089
1600,15.6,0.1016,71.3,0.0437259,121.52799999999999
1600,6.7,0.1016,71.3,0.00478288,136.678
400,3.0,0.3048,71.3,0.00425727,127.564
800,5.4,0.1524,31.7,0.00525474,131.491
1600,22.2,0.0254,71.3,0.0214178,131.817
315,4.0,0.3048,71.3,0.00497773,128.175
5000,7.3,0.2286,55.5,0.011170600000000001,113.14399999999999
630,7.3,0.2286,55.5,0.011170600000000001,130.934
1250,0.0,0.1016,39.6,0.00146332,132.27100000000002
5000,0.0,0.1524,55.5,0.00172668,125.20299999999999
1600,2.7,0.1524,71.3,0.00243851,130.644
2000,12.7,0.0254,71.3,0.012180799999999999,134.22799999999998
630,11.2,0.0508,71.3,0.014072,133.611
400,19.7,0.0508,71.3,0.034118300000000004,123.865
2000,7.3,0.2286,31.7,0.0132672,115.309
800,4.0,0.3048,39.6,0.00579636,130.72299999999998
250,7.3,0.2286,71.3,0.010440399999999999,139.918
8000,3.3,0.1016,55.5,0.002211,120.569
630,6.7,0.1016,31.7,0.00592927,132.116
1600,0.0,0.1016,71.3,0.00121072,131.725
3150,7.2,0.1524,71.3,0.00752039,116.78299999999999
2000,5.4,0.1524,39.6,0.00485029,124.647
630,12.7,0.0254,71.3,0.012180799999999999,128.878
1000,12.3,0.1016,55.5,0.0368233,125.484
1600,4.2,0.0508,39.6,0.00152689,130.197
5000,0.0,0.0508,55.5,0.00076193,134.556
1600,12.7,0.0254,71.3,0.012180799999999999,134.528
3150,2.0,0.2286,31.7,0.00372371,121.527
1000,5.4,0.1524,71.3,0.00401199,133.201
1600,0.0,0.1016,39.6,0.00146332,133.261
2500,1.5,0.3048,39.6,0.00392107,120.98100000000001
10000,0.0,0.0254,55.5,0.00041229,134.563
4000,15.4,0.0508,31.7,0.028985300000000002,115.635
2000,22.2,0.0254,71.3,0.0214178,127.197
200,9.9,0.1524,39.6,0.0233328,127.315
4000,8.9,0.1016,71.3,0.0103088,120.243
500,11.2,0.0508,71.3,0.014072,130.311
2500,19.7,0.0508,71.3,0.034118300000000004,118.385
1250,2.0,0.2286,31.7,0.00372371,128.67700000000002
3150,12.3,0.1016,71.3,0.033779199999999995,120.79799999999999
400,7.2,0.1524,71.3,0.00752039,130.123
630,4.0,0.2286,31.7,0.00509068,130.349
1600,0.0,0.0254,39.6,0.00042846400000000004,124.156
800,12.3,0.1016,71.3,0.033779199999999995,127.318
6300,9.9,0.1524,31.7,0.0252785,108.689
1250,0.0,0.0254,31.7,0.000439472,127.947
1600,12.3,0.1016,39.6,0.0408268,117.875
2500,0.0,0.1524,71.3,0.0015988,128.127
315,5.3,0.2286,39.6,0.00614329,129.691
800,4.0,0.2286,39.6,0.00473801,130.469
4000,0.0,0.0508,39.6,0.000791822,135.308
3150,3.3,0.1016,39.6,0.00245138,128.401
500,12.6,0.1524,39.6,0.058411300000000006,114.9
6300,8.9,0.1016,71.3,0.0103088,117.25299999999999
315,5.4,0.1524,39.6,0.00485029,125.34700000000001
8000,4.0,0.2286,55.5,0.0042861999999999996,112.524
800,4.0,0.2286,55.5,0.0042861999999999996,131.864
1600,17.4,0.0254,71.3,0.016104,126.406
1600,17.4,0.0254,55.5,0.016570599999999998,126.471
16000,0.0,0.3048,71.3,0.00266337,108.721
10000,4.0,0.3048,71.3,0.00497773,110.905
800,2.0,0.2286,55.5,0.00313525,128.49200000000002
630,8.4,0.0508,39.6,0.00566229,126.045
1000,11.2,0.0508,39.6,0.015047799999999998,132.43
500,8.4,0.0508,39.6,0.00566229,122.905
5000,3.0,0.3048,39.6,0.00495741,115.792
3150,5.4,0.1524,71.3,0.00401199,123.311
400,7.2,0.1524,39.6,0.00909175,132.118
800,11.2,0.0508,71.3,0.014072,136.031
500,8.4,0.0508,55.5,0.00544854,123.742
1250,5.4,0.1524,55.5,0.00433288,130.77700000000002
6300,3.0,0.3048,39.6,0.00495741,114.042
2500,3.3,0.1016,55.5,0.002211,132.889
630,15.4,0.0508,71.3,0.0264269,129.645
3150,0.0,0.2286,39.6,0.00253511,124.625
1600,5.4,0.1524,31.7,0.00525474,123.76100000000001
500,7.3,0.2286,55.5,0.011170600000000001,133.174
4000,4.0,0.2286,55.5,0.0042861999999999996,120.654
630,4.0,0.2286,71.3,0.00400603,129.03799999999998
200,15.4,0.0508,55.5,0.0271925,122.94
3150,8.4,0.0508,31.7,0.00580776,122.086
315,12.3,0.1016,55.5,0.0368233,135.674
200,8.9,0.1016,39.6,0.012459600000000001,133.42
8000,0.0,0.0254,39.6,0.00042846400000000004,135.866
8000,4.8,0.0254,55.5,0.000873218,132.184
1250,5.4,0.1524,39.6,0.00485029,127.117
2000,0.0,0.1524,31.7,0.00209405,128.907
2500,9.5,0.0254,55.5,0.0043284,134.15200000000002
2000,0.0,0.3048,71.3,0.00266337,127.461
3150,6.7,0.1016,71.3,0.00478288,124.458
500,0.0,0.1524,55.5,0.00172668,120.573
1600,4.0,0.2286,55.5,0.0042861999999999996,128.264
3150,0.0,0.3048,71.3,0.00266337,125.20100000000001
4000,0.0,0.0254,55.5,0.00041229,133.22299999999998
2000,5.4,0.1524,71.3,0.00401199,131.111
6300,0.0,0.0254,71.3,0.00040068199999999997,134.987
2500,0.0,0.3048,39.6,0.00310138,121.399
630,5.4,0.1524,71.3,0.00401199,128.971
400,2.0,0.2286,71.3,0.00293031,125.116
3150,3.0,0.3048,39.6,0.00495741,118.92200000000001
4000,4.2,0.0508,39.6,0.00152689,131.80700000000002
630,17.4,0.0254,55.5,0.016570599999999998,122.411
1250,15.4,0.0508,31.7,0.028985300000000002,123.255
400,8.9,0.1016,71.3,0.0103088,138.123
800,8.9,0.1016,39.6,0.012459600000000001,130.94
315,5.4,0.1524,31.7,0.00525474,125.741
500,15.6,0.1016,71.3,0.0437259,130.638
315,9.5,0.0254,31.7,0.00461377,122.766
6300,12.3,0.1016,55.5,0.0368233,110.124
400,5.3,0.2286,39.6,0.00614329,131.221
20000,4.0,0.2286,71.3,0.00400603,109.63799999999999
630,7.3,0.2286,31.7,0.0132672,126.189
1000,4.0,0.2286,55.5,0.0042861999999999996,132.134
400,8.4,0.0508,55.5,0.00544854,121.58200000000001
630,8.9,0.1016,71.3,0.0103088,138.423
800,12.7,0.0254,39.6,0.013025299999999998,130.217
400,7.3,0.2286,39.6,0.0123481,132.039
400,5.4,0.1524,55.5,0.00433288,126.807
